code,label_ja,label_hierarchical
915.4,中世：鎌倉・室町時代,日本文学/日記．書簡．紀行/中世：鎌倉・室町時代
915.44,十六夜日記,日記．書簡．紀行/中世：鎌倉・室町時代/十六夜日記
915.45,海道記,日記．書簡．紀行/中世：鎌倉・室町時代/海道記
915.46,東関紀行,日記．書簡．紀行/中世：鎌倉・室町時代/東関紀行
915.49,その他の日記：建春門院中納言日記［たまきはる］，とはずがたり，中務内侍日記，弁内侍日記,日記．書簡．紀行/中世：鎌倉・室町時代/その他の日記：建春門院中納言日記［たまきはる］，とはずがたり，中務内侍日記，弁内侍日記
915.5,近世：江戸時代,日本文学/日記．書簡．紀行/近世：江戸時代
915.6,近代：明治以後,日本文学/日記．書簡．紀行/近代：明治以後
915.68,複数作家の作品集,日記．書簡．紀行/近代：明治以後/複数作家の作品集
916,記録．手記．ルポルタージュ,日本文学/記録．手記．ルポルタージュ
917,箴言．アフォリズム．寸言,日本文学/箴言．アフォリズム．寸言
918,作品集：全集，選集,日本文学/作品集：全集，選集
918.3,古代：平安時代まで,日本文学/作品集：全集，選集/古代：平安時代まで
918.4,中世：鎌倉・室町時代,日本文学/作品集：全集，選集/中世：鎌倉・室町時代
918.5,近世：江戸時代,日本文学/作品集：全集，選集/近世：江戸時代
918.6,近代：明治以後,日本文学/作品集：全集，選集/近代：明治以後
918.68,個人全集・選集,作品集：全集，選集/近代：明治以後/個人全集・選集
919,漢詩文．日本漢文学,日本文学/漢詩文．日本漢文学
919.02,日本漢文学史,日本文学/漢詩文．日本漢文学/日本漢文学史
919.07,詩文作法,日本文学/漢詩文．日本漢文学/詩文作法
919.3,古代：平安時代まで,日本文学/漢詩文．日本漢文学/古代：平安時代まで
919.4,中世：鎌倉・室町時代,日本文学/漢詩文．日本漢文学/中世：鎌倉・室町時代
919.5,近世：江戸時代,日本文学/漢詩文．日本漢文学/近世：江戸時代
919.6,近代：明治以後,日本文学/漢詩文．日本漢文学/近代：明治以後
